encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,1365.333333,6.333333333,512,3,1877.333333,6,3.333333333,1.666666667,self_attention-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_add-->lightweight_conv-->,self_attention-->self_attention-->lightweight_shiftadd-->,4.775750101,92.19045544,0.005322754,1.025568007
512,6,2218.666667,5.333333333,512,1,512,8,2,3,lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->lightweight_conv-->,lightweight_add-->,5.731202036,35.56547558,0.028317216,3.462175441
512,6,1536,3.333333333,512,6,1706.666667,5.666666667,5.333333333,1.166666667,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_conv-->,self_attention+lightweight_shiftadd-->lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention-->,6.267330021,208.2059517,0.021576809,4.697747231
512,6,1962.666667,4.666666667,640,2,3072,4,6,1.5,self_attention-->lightweight_shiftadd-->lightweight_conv-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->,self_attention-->self_attention+lightweight_conv-->,4.775222003,79.41948557,0.006420135,3.633212164
512,6,1621.333333,3.333333333,640,6,1194.666667,5.666666667,5,2.666666667,self_attention-->lightweight_conv-->lightweight_conv-->lightweight_add-->lightweight_conv-->self_attention-->,self_attention+lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention-->,3.750226006,195.9003315,0.005176436,4.405469411
640,6,2389.333333,4.333333333,640,5,1843.2,2.8,4.4,2.2,lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention-->lightweight_add-->self_attention+lightweight_conv-->,lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_add-->,5.059129953,173.7023554,0.006667569,3.760418704
512,6,2133.333333,5.666666667,512,4,1280,5.5,3,2.5,self_attention+lightweight_add-->self_attention-->self_attention-->lightweight_add-->lightweight_shiftadd-->self_attention-->,lightweight_shiftadd-->lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_shiftadd-->,4.595438033,138.8752794,0.006706194,5.430027559
512,6,1877.333333,4.333333333,512,4,2816,3.5,5,1.5,lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->lightweight_conv-->,lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->,4.649254024,132.9910984,0.00971221,3.949513041
512,6,1706.666667,4.333333333,640,3,1536,3.333333333,3.333333333,1,lightweight_shiftadd-->self_attention-->lightweight_add-->lightweight_shiftadd-->lightweight_conv-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention-->lightweight_shiftadd-->,4.291288018,111.8501983,0.00615163,4.935302884
512,6,1450.666667,3.333333333,640,3,1536,4,4,2.333333333,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->lightweight_add-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->,5.486854017,120.5258579,0.005098822,4.371091145
640,6,1962.666667,5,512,5,1433.6,4.8,6,1.8,lightweight_shiftadd-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_add-->,lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_shiftadd-->,4.634167999,171.8096342,0.006567358,4.95253246
640,6,1194.666667,4.666666667,512,5,1228.8,4.4,6.4,1.8,lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention-->lightweight_conv-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_add-->self_attention-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->,5.493033975,179.0616884,0.00610743,4.463354766
512,6,1365.333333,5,512,6,1877.333333,4,4.333333333,2.5,lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_shiftadd-->lightweight_conv-->,self_attention-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->,5.128607988,214.1765938,0.005152862,3.985845566
640,6,1962.666667,5,512,3,1365.333333,6.666666667,5.333333333,1.333333333,lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->,lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_conv-->,5.671466023,102.40487,0.014015535,4.334830216
640,6,1792,3.333333333,512,5,2150.4,3.6,3.6,2,self_attention+lightweight_conv-->lightweight_add-->lightweight_conv-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->,lightweight_shiftadd-->lightweight_conv-->lightweight_add-->self_attention-->self_attention+lightweight_conv-->,4.878838003,154.2565231,0.005768782,4.343306345
640,6,1450.666667,6,512,6,2304,4.666666667,3,1.666666667,self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->,6.297463953,219.3128443,0.007986321,8.120847406
640,6,1536,4.333333333,512,2,768,6,2,1.5,self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->,lightweight_conv-->lightweight_add-->,6.142980009,53.48725224,0.023719114,0.121502722
