encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1536.0,2.6666666666666665,640,1,512.0,2.0,4.0,1.0,13.589143753051758,129.1978359222412,0.0,0.0
512,6,1365.3333333333333,5.0,512,1,3072.0,2.0,2.0,1.0,13.529777526855469,124.43971633911133,0.0,0.0
512,6,1621.3333333333333,5.333333333333333,512,2,1536.0,3.0,3.0,2.0,13.938188552856445,339.2148017883301,0.0,0.0
512,6,2218.6666666666665,5.666666666666667,512,3,1365.3333333333333,4.666666666666667,3.3333333333333335,2.6666666666666665,18.67222785949707,318.77708435058594,0.0,0.0
512,6,1792.0,5.333333333333333,640,1,1024.0,4.0,8.0,2.0,16.36528968811035,164.1082763671875,0.0,0.0
640,6,1536.0,5.0,512,5,2355.2,2.8,4.0,2.0,19.415855407714844,482.11002349853516,0.0,0.0
640,6,1877.3333333333333,5.333333333333333,512,3,1706.6666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,16.820907592773438,323.92263412475586,0.0,0.0
512,6,1706.6666666666667,4.666666666666667,512,3,1024.0,4.666666666666667,2.0,2.6666666666666665,14.68515396118164,262.6008987426758,0.0,0.0
640,6,2304.0,5.0,512,6,1109.3333333333333,4.0,3.0,1.8333333333333333,14.661073684692383,439.3460750579834,0.0,0.0
512,6,1194.6666666666667,6.333333333333333,512,4,1408.0,4.0,5.5,1.75,11.795520782470703,395.66731452941895,0.0,0.0
640,6,1450.6666666666667,4.666666666666667,512,6,2474.6666666666665,4.666666666666667,3.6666666666666665,1.5,14.712333679199219,536.466121673584,0.0,0.0
640,6,1621.3333333333333,5.333333333333333,512,2,768.0,6.0,8.0,2.0,66.74838066101074,204.9243450164795,0.0,0.0
640,6,1365.3333333333333,3.3333333333333335,512,1,2048.0,4.0,8.0,1.0,12.886524200439453,120.95499038696289,0.0,0.0
512,6,1962.6666666666667,4.333333333333333,640,5,2457.6,4.8,4.8,2.6,14.433860778808594,415.62700271606445,0.0,0.0
640,6,1194.6666666666667,4.333333333333333,640,4,1152.0,6.0,4.0,2.5,12.738227844238281,353.56783866882324,0.0,0.0
512,6,1536.0,5.666666666666667,640,6,1536.0,3.6666666666666665,4.666666666666667,1.8333333333333333,152.93645858764648,579.7250270843506,0.0,0.0
640,6,1194.6666666666667,4.666666666666667,512,1,2048.0,8.0,4.0,3.0,16.505718231201172,161.59319877624512,0.0,0.0
640,6,1877.3333333333333,4.666666666666667,640,2,1280.0,4.0,5.0,2.0,17.14181900024414,241.0299777984619,0.0,0.0
640,6,1280.0,4.666666666666667,640,6,2048.0,5.333333333333333,3.6666666666666665,1.8333333333333333,17.239809036254883,740.0233745574951,0.0,0.0
512,6,1450.6666666666667,2.6666666666666665,640,2,1536.0,5.0,4.0,2.5,13.047218322753906,176.16915702819824,0.0,0.0
