encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
1024,6,2389.3333333333335,10.0,512,3,2389.3333333333335,13.333333333333334,5.333333333333333,1.3333333333333333,self_attention-->lightweight_add-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,4.883839994668961,145.25375938415527,0.018748838533031054,0.1923626098423412
1024,6,1706.6666666666667,10.666666666666666,1024,3,1706.6666666666667,5.333333333333333,9.333333333333334,3.0,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,5.935104042291641,141.45740699768066,0.006260325404339237,0.18836623906422728
512,6,3072.0,8.0,512,4,2560.0,11.0,9.0,2.25,self_attention-->lightweight_add-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,5.387455999851227,163.51148796081543,0.007160806226341604,0.11918663259727251
512,6,3242.6666666666665,10.0,1024,1,3072.0,8.0,4.0,3.0,lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->,6.077759951353073,57.262272119522095,0.007337160495771613,0.16356614200151484
512,6,2560.0,10.0,1024,1,1024.0,8.0,4.0,3.0,lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention+lightweight_conv-->,5.860607951879501,50.31654453277588,0.008775262106832693,0.07768378207395389
1024,6,2560.0,10.666666666666666,512,2,2560.0,16.0,16.0,2.0,lightweight_conv-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_shiftadd-->lightweight_add-->lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention-->,4.953663945198059,85.41420698165894,0.004923854911308678,0.10152679525092143
768,6,2560.0,5.333333333333333,768,1,2048.0,4.0,8.0,2.0,self_attention+lightweight_shiftadd-->lightweight_add-->self_attention+lightweight_conv-->lightweight_conv-->self_attention-->lightweight_add-->,self_attention+lightweight_add-->,5.122175991535187,50.36640024185181,0.006644999461743768,0.1447889730802572
512,6,2560.0,8.0,512,2,1536.0,6.0,8.0,2.0,self_attention-->lightweight_add-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,5.060544013977051,97.3155198097229,0.006777653723709901,0.07365231683612854
768,6,3413.3333333333335,6.0,1024,4,2304.0,7.0,11.0,2.0,lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->,self_attention-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,5.291008025407791,164.45996952056885,0.007103705655146794,0.15373554320676602
768,6,2560.0,12.0,1024,2,3072.0,4.0,16.0,1.0,self_attention+lightweight_add-->self_attention-->lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,self_attention-->self_attention+lightweight_add-->,5.6344320476055145,78.62067365646362,0.018717352794538438,0.09070470867863215
